"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jedd Gyorko","STL","22","9.1%","45.5%","0.20",".100",".182",".100",".282",".000","2.6",".200","-0.2","0.1","0.0","-1","-3.4",".142","-17","10816"
"Kyle Hendricks","CHC","11","9.1%","54.5%","0.17",".100",".182",".100",".282",".000","2.6",".250","","","0.0","0","-1.7",".142","-22","12049"
"Ross Stripling","LAD","13","7.7%","30.8%","0.25",".100",".182",".100",".282",".000","2.6",".167","","","0.0","0","-2.0",".142","-18","13273"
"Steve Pearce","BOS","43","4.7%","39.5%","0.12",".103",".167",".128",".295",".026","1.6",".182","0.0","-0.3","0.0","-1","-6.6",".141","-27","9957"
"Aaron Nola","PHI","11","18.2%","36.4%","0.50",".000",".200",".000",".200",".000","2.6",".000","","","0.0","0","-1.7",".138","-25","16149"
"Daniel Palka","CHW","42","14.3%","35.7%","0.40",".029",".190",".029",".219",".000","0.1",".050","0.1","-0.1","0.0","-1","-6.7",".136","-25","14897"
"Zack Cozart","LAA","70","2.9%","18.6%","0.15",".109",".157",".125",".282",".016","0.9",".132","-0.1","0.2","0.0","-3","-11.4",".132","-29","2616"
"Elias Diaz","PIT","16","0.0%","12.5%","0.00",".125",".125",".188",".313",".063","2.6",".143","0.0","0.0","0.0","-1","-2.6",".130","-28","11680"
"Travis d'Arnaud","NYM","25","8.0%","20.0%","0.40",".087",".160",".087",".247",".000","2.6",".111","-0.7","0.0","0.0","-1","-4.2",".125","-26","7739"
"Rocky Gale","LAD","14","0.0%","50.0%","0.00",".143",".143",".143",".286",".000","2.6",".286","-0.1","-0.2","0.0","-1","-2.4",".124","-30","10533"
"Zach Davies","MIL","13","7.7%","53.8%","0.14",".083",".154",".083",".237",".000","0.1",".200","","","0.0","-1","-2.2",".120","-37","13183"
"Eric Stamets","CLE","48","10.4%","50.0%","0.21",".049",".149",".073",".222",".024","2.6",".111","-0.1","-0.4","0.0","-2","-8.4",".118","-39","13795"
"Dustin Pedroia","BOS","21","4.8%","9.5%","0.50",".100",".143",".100",".243",".000","1.6",".111","0.3","-0.4","0.0","-1","-3.7",".116","-44","8370"
"Max Scherzer","WSN","16","0.0%","50.0%","0.00",".125",".125",".125",".250",".000","2.6",".250","","","0.0","-1","-2.9",".109","-44","3137"
"Jack Flaherty","STL","11","0.0%","9.1%","0.00",".125",".125",".125",".250",".000","2.6",".143","","","0.0","-1","-2.0",".109","-39","17479"
"Peter Bourjos","LAA","46","2.2%","32.6%","0.07",".091",".109",".114",".222",".023","7.4",".133","-0.1","0.2","0.4","-3","-8.8",".098","-52","2578"
"Connor Joe","SFG","16","6.3%","31.3%","0.20",".067",".125",".067",".192",".000","2.6",".100","0.1","-0.1","0.0","-1","-3.1",".097","-47","16572"
"Derek Holland","SFG","10","0.0%","60.0%","0.00",".111",".111",".111",".222",".000","0.1",".333","","","0.0","-1","-1.9",".097","-47","4141"
"Chris Archer","PIT","10","0.0%","50.0%","0.00",".111",".111",".111",".222",".000","0.1",".250","","","0.0","-1","-1.9",".097","-50","6345"
"Steven Matz","NYM","10","0.0%","30.0%","0.00",".111",".111",".111",".222",".000","0.1",".167","","","0.0","-1","-1.9",".097","-44","13361"
"Caleb Smith","MIA","10","0.0%","40.0%","0.00",".111",".111",".111",".222",".000","0.1",".200","","","0.0","-1","-1.9",".097","-46","14875"
"Joshua Fuentes","COL","18","0.0%","44.4%","0.00",".111",".111",".111",".222",".000","2.6",".200","0.1","0.0","0.0","-1","-3.5",".097","-64","16885"
"Tanner Roark","CIN","10","0.0%","40.0%","0.00",".100",".100",".100",".200",".000","0.1",".167","","","0.0","-1","-2.0",".087","-62","8753"
"Trevor Richards","MIA","10","0.0%","60.0%","0.00",".100",".100",".100",".200",".000","0.1",".250","","","0.0","-1","-2.0",".087","-53","19309"
"Zach Eflin","PHI","11","0.0%","72.7%","0.00",".091",".091",".091",".182",".000","0.1",".333","","","0.0","-1","-2.3",".079","-63","13774"
"Kevin Gausman","ATL","11","0.0%","81.8%","0.00",".091",".091",".091",".182",".000","0.1",".500","","","0.0","-1","-2.3",".079","-64","14107"
"Merrill Kelly","ARI","11","9.1%","18.2%","0.50",".000",".111",".000",".111",".000","2.6",".000","","","0.0","-1","-2.3",".077","-66","11156"
"Joe Musgrove","PIT","10","10.0%","60.0%","0.17",".000",".111",".000",".111",".000","0.1",".000","","","0.0","-1","-2.1",".077","-63","12970"
"Anibal Sanchez","WSN","12","0.0%","50.0%","0.00",".083",".083",".083",".167",".000","0.1",".167","","","0.0","-1","-2.6",".072","-68","3284"
"Jose Quintana","CHC","12","0.0%","66.7%","0.00",".083",".083",".083",".167",".000","2.6",".250","","","0.0","-1","-2.6",".072","-67","11423"
"Jon Gray","COL","14","0.0%","57.1%","0.00",".083",".083",".083",".167",".000","0.1",".250","","","0.0","-1","-3.0",".072","-79","14916"
"Aaron Altherr","PHI","28","3.6%","28.6%","0.13",".037",".071",".074",".146",".037","2.6",".053","0.0","-0.2","0.0","-3","-6.1",".068","-71","11270"
"Jake Arrieta","PHI","15","0.0%","33.3%","0.00",".077",".077",".077",".154",".000","2.6",".125","","","0.0","-1","-3.3",".067","-71","4153"
"German Marquez","COL","14","0.0%","28.6%","0.00",".077",".077",".077",".154",".000","0.1",".111","","","0.0","-1","-3.1",".067","-83","15038"
"Luis Castillo","CIN","15","0.0%","53.3%","0.00",".071",".071",".071",".143",".000","2.6",".167","","","0.0","-1","-3.3",".062","-78","15689"
"Frank Schwindel","KCR","15","0.0%","13.3%","0.00",".067",".067",".067",".133",".000","0.1",".077","0.0","0.0","0.0","-2","-3.4",".058","-81","15351"
"Yonathan Daza","COL","12","8.3%","33.3%","0.25",".000",".083",".000",".083",".000","0.1",".000","0.0","0.0","0.0","-1","-2.7",".058","-89","15794"
"Mikie Mahtook","DET","25","8.0%","44.0%","0.18",".000",".080",".000",".080",".000","0.1",".000","-0.1","0.1","0.0","-3","-5.7",".055","-81","13130"
"Cole Hamels","CHC","10","0.0%","10.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","4972"
"Julio Teheran","ATL","13","0.0%","46.2%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-3.6",".000","-100","6797"
"Robbie Ray","ARI","12","0.0%","58.3%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-3.3",".000","-100","11486"
"Yu Darvish","CHC","10","0.0%","70.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","13074"
"Michael Wacha","STL","10","0.0%","60.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","14078"
"Alex Jackson","ATL","11","9.1%","27.3%","0.33",".000",".091",".000",".091",".000","0.1",".000","0.0","-0.1","0.0","-2","-3.0",".000","-100","17276"
"Dakota Hudson","STL","10","0.0%","20.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","19206"
"Joey Lucchesi","SDP","10","0.0%","70.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","19320"
"Chris Paddack","SDP","10","0.0%","60.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","20099"
