"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Todd Frazier","NYM","30","0.0%","33.3%","0.00",".207",".233",".414",".647",".207","4.0",".235","0.0","0.0","0.2","2","-1.3",".269","69","785"
"Teoscar Hernandez","TOR","103","9.7%","26.2%","0.37",".217",".291",".337",".628",".120","5.9",".281","0.2","0.0","-0.1","8","-4.5",".269","64","13066"
"Ben Zobrist","CHC","82","12.2%","12.2%","1.00",".239",".329",".254",".583",".014","1.4",".274","-0.4","-0.4","-0.1","7","-3.6",".269","61","7435"
"JB Shuck","PIT","56","14.3%","17.9%","0.80",".196",".327",".239",".566",".043","4.7",".250","0.4","0.1","-0.3","5","-2.5",".268","62","6677"
"Starling Marte","PIT","80","2.5%","20.0%","0.13",".200",".241",".400",".641",".200","7.9",".214","0.2","0.0","0.1","6","-3.6",".267","62","9241"
"Ryan Braun","MIL","105","5.7%","23.8%","0.24",".196",".250",".381",".631",".186","3.5",".209","-0.2","-0.3","0.2","8","-4.8",".267","60","3410"
"Travis Shaw","MIL","110","9.1%","34.5%","0.26",".194",".282",".347",".629",".153","1.0",".268","0.1","-0.2","0.0","9","-5.1",".267","59","11982"
"Ryan O'Hearn","KCR","99","13.1%","25.3%","0.52",".167",".283",".333",".616",".167","3.6",".193","-0.1","-0.1","0.0","8","-4.6",".266","60","16442"
"Tony Kemp","HOU","45","8.9%","17.8%","0.50",".179",".273",".333",".606",".154","5.7",".172","-0.2","0.0","0.2","4","-2.1",".266","64","14894"
"Austin Dean","MIA","23","0.0%","39.1%","0.00",".227",".217",".455",".672",".227","2.6",".308","0.1","0.0","0.0","2","-1.1",".266","64","18288"
"Wilson Ramos","NYM","99","8.1%","15.2%","0.53",".247",".313",".303",".617",".056","1.9",".284","-0.7","-0.4","-0.1","8","-4.7",".266","66","1433"
"Tyler Wade","NYY","52","13.5%","34.6%","0.39",".227",".333",".227",".561",".000","6.8",".385","0.3","0.3","1.0","4","-2.5",".265","62","15730"
"Steven Duggar","SFG","117","5.1%","29.9%","0.17",".222",".265",".361",".626",".139","2.3",".292","0.0","0.3","-0.7","9","-5.5",".265","63","17719"
"Billy McKinney","TOR","92","5.4%","20.7%","0.26",".229",".278",".337",".615",".108","2.0",".281","-0.2","0.4","0.0","7","-4.4",".265","62","15654"
"Justin Bour","LAA","91","11.0%","27.5%","0.40",".175",".275",".325",".600",".150","0.7",".212","-0.4","-0.2","0.0","7","-4.4",".264","60","9744"
"Jordan Luplow","CLE","21","14.3%","42.9%","0.33",".222",".333",".222",".556",".000","4.9",".444","0.1","0.0","0.2","2","-1.0",".264","60","16424"
"A.J. Pollock","LAD","115","7.8%","20.0%","0.39",".223",".287",".330",".617",".107","4.3",".263","0.4","0.1","-0.5","9","-5.6",".264","62","9256"
"Aledmys Diaz","HOU","41","2.4%","14.6%","0.17",".205",".220",".436",".655",".231","4.7",".188","0.0","-0.2","0.0","3","-2.0",".263","62","15937"
"Evan Longoria","SFG","109","3.7%","21.1%","0.17",".212",".248",".375",".623",".163","4.8",".244","0.0","-0.2","0.2","8","-5.5",".262","61","9368"
"Mike Freeman","CLE","19","15.8%","31.6%","0.50",".214",".333",".214",".548",".000","0.6",".333","0.2","0.1","0.0","1","-1.0",".260","58","11241"
"Billy Hamilton","KCR","84","10.7%","22.6%","0.47",".216",".298",".284",".581",".068","8.9",".286","0.5","0.4","0.2","6","-4.4",".259","55","10199"
"Dustin Peterson","DET","47","4.3%","29.8%","0.14",".227",".277",".318",".595",".091","4.2",".333","-0.9","0.0","0.2","3","-2.5",".259","57","15189"
"Yolmer Sanchez","CHW","72","9.7%","26.4%","0.37",".234",".306",".266",".571",".031","2.9",".326","0.3","0.1","-0.3","5","-3.9",".258","57","11602"
"Isiah Kiner-Falefa","TEX","59","11.9%","25.4%","0.47",".200",".310",".240",".550",".040","4.7",".286","0.4","-0.4","0.2","4","-3.2",".258","47","16512"
"Ehire Adrianza","MIN","42","7.1%","14.3%","0.50",".176",".293",".265",".557",".088","2.6",".179","0.0","0.1","0.0","3","-2.3",".256","55","8418"
"Jason Martin","PIT","38","7.9%","26.3%","0.30",".229",".289",".286",".575",".057","5.2",".320","1.0","0.1","0.4","3","-2.1",".256","55","16429"
"Noah Syndergaard","NYM","14","14.3%","57.1%","0.25",".091",".231",".364",".594",".273","2.6",".000","","","0.0","1","-0.8",".255","60","11762"
